order_id,order_date,order_status_id,expected_delivery_date,delivery_date,quote_id,shipping_address_id
ORD38888,2022-03-03,OST00075,2022-04-03,Na,QUO85063,SCI00075
ORD10455,2021-10-26,OST00076,2021-11-26,Na,QUO80975,SCI00076
ORD65934,2023-02-15,OST00077,2023-03-15,Na,QUO83441,SCI00077
ORD36443,2022-05-07,OST00078,2022-06-07,Na,QUO23594,SCI00078
ORD18014,2021-09-12,OST00079,2021-10-12,Na,QUO06699,SCI00079
ORD88518,2021-08-22,OST00080,2021-09-22,2021-10-22,QUO89682,SCI00080
ORD75560,2022-03-02,OST00081,2022-04-02,Na,QUO07876,SCI00081
ORD61209,2021-05-19,OST00082,2021-06-19,Na,QUO00872,SCI00082
ORD99865,2020-12-18,OST00083,2021-01-18,2021-02-18,QUO95290,SCI00083
ORD39743,2020-09-01,OST00084,2020-10-01,Na,QUO58473,SCI00084
ORD34161,2022-06-21,OST00085,2022-07-21,2022-08-21,QUO90443,SCI00085
ORD53373,2022-06-22,OST00086,2022-07-22,Na,QUO41215,SCI00086
ORD76690,2022-05-24,OST00087,2022-06-24,Na,QUO34390,SCI00087
ORD47264,2020-12-12,OST00088,2021-01-12,Na,QUO47415,SCI00088
ORD32720,2020-10-15,OST00089,2020-11-15,Na,QUO61769,SCI00089
ORD96161,2020-09-29,OST00090,2020-10-29,Na,QUO48309,SCI00090
ORD21789,2022-05-10,OST00091,2022-06-10,2022-07-10,QUO06507,SCI00091
ORD63769,2022-01-11,OST00092,2022-02-11,Na,QUO68861,SCI00092
ORD17639,2020-11-23,OST00093,2020-12-23,Na,QUO93208,SCI00093
ORD20890,2023-02-05,OST00094,2023-03-05,2023-04-05,QUO22161,SCI00094
ORD13812,2020-12-12,OST00095,2021-01-12,2021-02-12,QUO92368,SCI00095
ORD49944,2021-02-24,OST00096,2021-03-24,Na,QUO09188,SCI00096
ORD96418,2021-12-25,OST00097,2022-01-25,2022-02-25,QUO65534,SCI00097
ORD66837,2020-10-23,OST00098,2020-11-23,2020-12-23,QUO97414,SCI00098
ORD84469,2020-10-09,OST00099,2020-11-09,Na,QUO37517,SCI00099
ORD83755,2022-08-14,OST00100,2022-09-14,Na,QUO64683,SCI00100
ORD25940,2022-03-27,OST00101,2022-04-27,Na,QUO58594,SCI00101
ORD77613,2021-02-03,OST00102,2021-03-03,2021-04-03,QUO29813,SCI00102
ORD36665,2021-08-29,OST00103,2021-09-29,Na,QUO96448,SCI00103
ORD79100,2022-02-20,OST00104,2022-03-20,Na,QUO64833,SCI00104
ORD34800,2020-06-30,OST00105,2020-07-30,Na,QUO83854,SCI00105
ORD36483,2021-02-27,OST00106,2021-03-27,Na,QUO39792,SCI00106
ORD66700,2023-01-30,OST00107,2023-02-28,2023-03-30,QUO95608,SCI00107
ORD50404,2021-12-29,OST00108,2022-01-29,Na,QUO61688,SCI00108
ORD54756,2021-12-14,OST00109,2022-01-14,2022-02-14,QUO79339,SCI00109
ORD72241,2020-04-03,OST00110,2020-05-03,2020-06-03,QUO39267,SCI00110
ORD26303,2021-08-26,OST00111,2021-09-26,Na,QUO21812,SCI00111
ORD11819,2022-08-15,OST00112,2022-09-15,Na,QUO73792,SCI00112
ORD75548,2021-12-24,OST00113,2022-01-24,Na,QUO65805,SCI00113
ORD90923,2022-07-13,OST00114,2022-08-13,2022-09-13,QUO61998,SCI00114
ORD30614,2022-03-02,OST00115,2022-04-02,Na,QUO61508,SCI00115
ORD82125,2022-08-10,OST00116,2022-09-10,Na,QUO94090,SCI00116
ORD29637,2021-01-18,OST00117,2021-02-18,Na,QUO81828,SCI00117
ORD66713,2022-01-12,OST00118,2022-02-12,Na,QUO00814,SCI00118
ORD70402,2022-11-26,OST00119,2022-12-26,2023-01-26,QUO65076,SCI00119
ORD98966,2022-11-01,OST00120,2022-12-01,Na,QUO66439,SCI00120
ORD62050,2020-05-16,OST00121,2020-06-16,Na,QUO63305,SCI00121
ORD34936,2020-12-09,OST00122,2021-01-09,Na,QUO55504,SCI00122
ORD61092,2020-10-06,OST00123,2020-11-06,2020-12-06,QUO11888,SCI00123
ORD71362,2023-02-25,OST00124,2023-03-25,Na,QUO03999,SCI00124
ORD72895,2021-02-17,OST00125,2021-03-17,2021-04-17,QUO43053,SCI00125
ORD22818,2020-08-07,OST00126,2020-09-07,Na,QUO35296,SCI00126
ORD89454,2020-07-16,OST00127,2020-08-16,Na,QUO17527,SCI00127
ORD28494,2022-11-20,OST00128,2022-12-20,Na,QUO87959,SCI00128
ORD53363,2020-04-13,OST00129,2020-05-13,2020-06-13,QUO42881,SCI00129
ORD38679,2022-10-22,OST00130,2022-11-22,Na,QUO91116,SCI00130
ORD70010,2020-09-03,OST00131,2020-10-03,2020-11-03,QUO81725,SCI00131
ORD12656,2021-02-02,OST00132,2021-03-02,2021-04-02,QUO16181,SCI00132
ORD03648,2020-05-18,OST00133,2020-06-18,Na,QUO58597,SCI00133
ORD68177,2021-08-22,OST00134,2021-09-22,2021-10-22,QUO46585,SCI00134
ORD41889,2022-09-29,OST00135,2022-10-29,Na,QUO04863,SCI00135
ORD91263,2020-10-04,OST00136,2020-11-04,Na,QUO96304,SCI00136
ORD41044,2022-09-09,OST00137,2022-10-09,2022-11-09,QUO88891,SCI00137
ORD63564,2020-09-03,OST00138,2020-10-03,Na,QUO31197,SCI00138
ORD78318,2021-02-21,OST00139,2021-03-21,Na,QUO68094,SCI00139
ORD56339,2021-10-08,OST00140,2021-11-08,Na,QUO00013,SCI00140
ORD47450,2022-08-14,OST00141,2022-09-14,Na,QUO25789,SCI00141
ORD84704,2022-01-06,OST00142,2022-02-06,Na,QUO53444,SCI00142
ORD35860,2022-11-26,OST00143,2022-12-26,2023-01-26,QUO35258,SCI00143
ORD27815,2021-10-05,OST00144,2021-11-05,2021-12-05,QUO48009,SCI00144
ORD40097,2020-11-24,OST00145,2020-12-24,Na,QUO48105,SCI00145
ORD52102,2020-12-21,OST00146,2021-01-21,2021-02-21,QUO77891,SCI00146
ORD08735,2022-10-31,OST00147,2022-11-30,2022-12-31,QUO14071,SCI00147
ORD28978,2022-06-30,OST00148,2022-07-30,Na,QUO82096,SCI00148
ORD24847,2020-08-24,OST00149,2020-09-24,Na,QUO67913,SCI00149
ORD97689,2020-11-07,OST00150,2020-12-07,2021-01-07,QUO17526,SCI00150
ORD65591,2021-06-14,OST00151,2021-07-14,2021-08-14,QUO19226,SCI00151
ORD65490,2021-10-14,OST00152,2021-11-14,Na,QUO04613,SCI00152
ORD09746,2022-12-24,OST00153,2023-01-24,Na,QUO07569,SCI00153
ORD00699,2021-10-12,OST00154,2021-11-12,Na,QUO09108,SCI00154
ORD03637,2022-06-05,OST00155,2022-07-05,2022-08-05,QUO79425,SCI00155
ORD70178,2022-12-13,OST00156,2023-01-13,Na,QUO17542,SCI00156
ORD94671,2021-06-07,OST00157,2021-07-07,2021-08-07,QUO09841,SCI00157
ORD89784,2021-10-29,OST00158,2021-11-29,Na,QUO37607,SCI00158
ORD97722,2022-01-07,OST00159,2022-02-07,2022-03-07,QUO24598,SCI00159
ORD83036,2021-03-28,OST00160,2021-04-28,2021-05-28,QUO68073,SCI00160
ORD32499,2022-11-09,OST00161,2022-12-09,Na,QUO20777,SCI00161
ORD34578,2021-09-03,OST00162,2021-10-03,Na,QUO17987,SCI00162
ORD66186,2020-06-01,OST00163,2020-07-01,2020-08-01,QUO66353,SCI00163
ORD76073,2020-05-22,OST00164,2020-06-22,2020-07-22,QUO59272,SCI00164
ORD19496,2021-11-01,OST00165,2021-12-01,Na,QUO42496,SCI00165
ORD40086,2021-12-29,OST00166,2022-01-29,2022-02-28,QUO41709,SCI00166
ORD95361,2022-08-02,OST00167,2022-09-02,2022-10-02,QUO34905,SCI00167
ORD86076,2022-04-12,OST00168,2022-05-12,2022-06-12,QUO39602,SCI00168
ORD95840,2022-04-10,OST00169,2022-05-10,2022-06-10,QUO77362,SCI00169
ORD60575,2021-05-09,OST00170,2021-06-09,2021-07-09,QUO78468,SCI00170
ORD79711,2022-09-01,OST00171,2022-10-01,Na,QUO04915,SCI00171
ORD01743,2022-08-17,OST00172,2022-09-17,Na,QUO78953,SCI00172
ORD94061,2020-12-19,OST00173,2021-01-19,Na,QUO32045,SCI00173
ORD55446,2020-04-10,OST00174,2020-05-10,Na,QUO46931,SCI00174
ORD96918,2020-07-15,OST00175,2020-08-15,Na,QUO14412,SCI00175
ORD12359,2022-03-14,OST00176,2022-04-14,Na,QUO05095,SCI00176
ORD37260,2021-05-05,OST00177,2021-06-05,2021-07-05,QUO05139,SCI00177
ORD95265,2021-08-21,OST00178,2021-09-21,Na,QUO74394,SCI00178
ORD10838,2020-12-21,OST00179,2021-01-21,2021-02-21,QUO53266,SCI00179
ORD75789,2022-06-01,OST00180,2022-07-01,Na,QUO62929,SCI00180
ORD80111,2021-04-28,OST00181,2021-05-28,Na,QUO60637,SCI00181
ORD35781,2021-07-22,OST00182,2021-08-22,Na,QUO14330,SCI00182
ORD23175,2021-04-28,OST00183,2021-05-28,Na,QUO26384,SCI00183
ORD47624,2020-05-16,OST00184,2020-06-16,Na,QUO75181,SCI00184
ORD22704,2021-08-14,OST00185,2021-09-14,2021-10-14,QUO83188,SCI00185
ORD69963,2020-07-02,OST00186,2020-08-02,2020-09-02,QUO71718,SCI00186
ORD96652,2022-10-26,OST00187,2022-11-26,Na,QUO81028,SCI00187
ORD25737,2022-09-29,OST00188,2022-10-29,2022-11-29,QUO10409,SCI00188
ORD61765,2021-06-07,OST00189,2021-07-07,2021-08-07,QUO59093,SCI00189
ORD30811,2021-10-29,OST00190,2021-11-29,Na,QUO45523,SCI00190
ORD91556,2020-12-27,OST00191,2021-01-27,2021-02-27,QUO39274,SCI00191
ORD75613,2020-05-18,OST00192,2020-06-18,Na,QUO15541,SCI00192
ORD89770,2022-11-09,OST00193,2022-12-09,Na,QUO16423,SCI00193
ORD38719,2023-03-16,OST00194,2023-04-16,Na,QUO56857,SCI00194
ORD59717,2020-05-22,OST00195,2020-06-22,2020-07-22,QUO04445,SCI00195
ORD25481,2021-10-27,OST00196,2021-11-27,Na,QUO87029,SCI00196
ORD55858,2023-01-06,OST00197,2023-02-06,2023-03-06,QUO35442,SCI00197
ORD61123,2020-12-29,OST00198,2021-01-29,Na,QUO61021,SCI00198
ORD88572,2020-04-02,OST00199,2020-05-02,Na,QUO10222,SCI00199
ORD66086,2022-11-08,OST00200,2022-12-08,2023-01-08,QUO97966,SCI00200
ORD71414,2022-05-08,OST00201,2022-06-08,Na,QUO89841,SCI00201
ORD47175,2022-04-15,OST00202,2022-05-15,Na,QUO49628,SCI00202
ORD43772,2022-01-03,OST00203,2022-02-03,Na,QUO38706,SCI00203
ORD68414,2022-02-04,OST00204,2022-03-04,2022-04-04,QUO72818,SCI00204
ORD16418,2020-05-09,OST00205,2020-06-09,2020-07-09,QUO14671,SCI00205
ORD20326,2021-07-18,OST00206,2021-08-18,Na,QUO89487,SCI00206
ORD84448,2022-02-08,OST00207,2022-03-08,2022-04-08,QUO49134,SCI00207
ORD24527,2022-05-19,OST00208,2022-06-19,2022-07-19,QUO63931,SCI00208
ORD59941,2021-07-12,OST00209,2021-08-12,Na,QUO66570,SCI00209
ORD21995,2021-08-14,OST00210,2021-09-14,2021-10-14,QUO30380,SCI00210
ORD42298,2020-10-23,OST00211,2020-11-23,Na,QUO19273,SCI00211
ORD16447,2021-09-19,OST00212,2021-10-19,Na,QUO22836,SCI00212
ORD58190,2020-08-24,OST00213,2020-09-24,Na,QUO53813,SCI00213
ORD69342,2022-06-05,OST00214,2022-07-05,Na,QUO45901,SCI00214
ORD54759,2022-01-15,OST00215,2022-02-15,Na,QUO85886,SCI00215
ORD04763,2023-02-12,OST00216,2023-03-12,Na,QUO35175,SCI00216
ORD83950,2022-05-14,OST00217,2022-06-14,Na,QUO53455,SCI00217
ORD44941,2022-04-10,OST00218,2022-05-10,Na,QUO95643,SCI00218
ORD56056,2021-02-25,OST00219,2021-03-25,Na,QUO99579,SCI00219
ORD07977,2022-02-04,OST00220,2022-03-04,Na,QUO85097,SCI00220
ORD91731,2020-11-28,OST00221,2020-12-28,2021-01-28,QUO57073,SCI00221
ORD80194,2021-02-23,OST00222,2021-03-23,2021-04-23,QUO99558,SCI00222
ORD06725,2020-05-08,OST00223,2020-06-08,Na,QUO89211,SCI00223
ORD03810,2022-03-09,OST00224,2022-04-09,Na,QUO50712,SCI00224
ORD98833,2022-10-02,OST00225,2022-11-02,Na,QUO24453,SCI00225
ORD19010,2021-04-09,OST00226,2021-05-09,Na,QUO86512,SCI00226
ORD06941,2022-12-14,OST00227,2023-01-14,Na,QUO42988,SCI00227
ORD69351,2021-07-30,OST00228,2021-08-30,2021-09-30,QUO28250,SCI00228
ORD37013,2021-10-29,OST00229,2021-11-29,Na,QUO23173,SCI00229
ORD68294,2021-10-26,OST00230,2021-11-26,Na,QUO83059,SCI00230
ORD60649,2023-02-20,OST00231,2023-03-20,Na,QUO32629,SCI00231
ORD79132,2022-08-15,OST00232,2022-09-15,2022-10-15,QUO31670,SCI00232
ORD12913,2021-11-26,OST00233,2021-12-26,2022-01-26,QUO52042,SCI00233
ORD42032,2022-03-10,OST00234,2022-04-10,Na,QUO54917,SCI00234
ORD72825,2021-02-23,OST00235,2021-03-23,Na,QUO98331,SCI00235
ORD49301,2023-03-05,OST00236,2023-04-05,2023-05-05,QUO09568,SCI00236
ORD85665,2022-06-19,OST00237,2022-07-19,2022-08-19,QUO75939,SCI00237
ORD42946,2020-07-02,OST00238,2020-08-02,Na,QUO60036,SCI00238
ORD29851,2022-05-19,OST00239,2022-06-19,Na,QUO44189,SCI00239
ORD72349,2021-12-29,OST00240,2022-01-29,Na,QUO98799,SCI00240
ORD35891,2022-04-18,OST00241,2022-05-18,2022-06-18,QUO38196,SCI00241
ORD85052,2022-11-23,OST00242,2022-12-23,Na,QUO24552,SCI00242
ORD62220,2022-09-29,OST00243,2022-10-29,Na,QUO54059,SCI00243
ORD98149,2022-01-06,OST00244,2022-02-06,2022-03-06,QUO89419,SCI00244
ORD59051,2020-11-08,OST00245,2020-12-08,2021-01-08,QUO57315,SCI00245
ORD15246,2021-07-12,OST00246,2021-08-12,Na,QUO76762,SCI00246
ORD77571,2023-03-11,OST00247,2023-04-11,2023-05-11,QUO78625,SCI00247
ORD34013,2022-06-30,OST00248,2022-07-30,Na,QUO26225,SCI00248
ORD15666,2022-10-02,OST00249,2022-11-02,Na,QUO19951,SCI00249
ORD47587,2020-10-03,OST00250,2020-11-03,2020-12-03,QUO05552,SCI00250
ORD16051,2020-10-23,OST00251,2020-11-23,Na,QUO93462,SCI00251
ORD59146,2022-12-11,OST00252,2023-01-11,2023-02-11,QUO66124,SCI00252
ORD82456,2021-08-04,OST00253,2021-09-04,2021-10-04,QUO43947,SCI00253
ORD73552,2021-04-14,OST00254,2021-05-14,Na,QUO72540,SCI00254
ORD80075,2020-06-14,OST00255,2020-07-14,Na,QUO78432,SCI00255
ORD09699,2021-10-12,OST00256,2021-11-12,2021-12-12,QUO50606,SCI00256
ORD80832,2022-05-25,OST00257,2022-06-25,2022-07-25,QUO61683,SCI00257
ORD51004,2022-01-15,OST00258,2022-02-15,Na,QUO65049,SCI00258
ORD40740,2022-08-17,OST00259,2022-09-17,Na,QUO70337,SCI00259
ORD38385,2022-05-14,OST00260,2022-06-14,2022-07-14,QUO05175,SCI00260
ORD99609,2022-04-11,OST00261,2022-05-11,Na,QUO12473,SCI00261
ORD61679,2020-08-11,OST00262,2020-09-11,2020-10-11,QUO72035,SCI00262
ORD47573,2023-03-29,OST00263,2023-04-29,2023-05-29,QUO52246,SCI00263
ORD89927,2020-09-16,OST00264,2020-10-16,Na,QUO31877,SCI00264
ORD32368,2021-06-14,OST00265,2021-07-14,Na,QUO93697,SCI00265
ORD05360,2021-12-01,OST00266,2022-01-01,Na,QUO03673,SCI00266
ORD34024,2023-02-20,OST00267,2023-03-20,Na,QUO42930,SCI00267
ORD90779,2022-12-09,OST00268,2023-01-09,Na,QUO86984,SCI00268
ORD42987,2020-07-23,OST00269,2020-08-23,2020-09-23,QUO88817,SCI00269
ORD79221,2022-04-13,OST00270,2022-05-13,2022-06-13,QUO99283,SCI00270
ORD09742,2021-10-16,OST00271,2021-11-16,Na,QUO70709,SCI00271
ORD29459,2022-08-05,OST00272,2022-09-05,Na,QUO18957,SCI00272
ORD39725,2022-02-20,OST00273,2022-03-20,2022-04-20,QUO66293,SCI00273
ORD24151,2021-10-29,OST00274,2021-11-29,Na,QUO49408,SCI00274
ORD35837,2022-06-10,OST00275,2022-07-10,2022-08-10,QUO77792,SCI00275
ORD79830,2022-04-11,OST00276,2022-05-11,Na,QUO05719,SCI00276
ORD99005,2022-09-13,OST00277,2022-10-13,2022-11-13,QUO09770,SCI00277
ORD35035,2021-04-05,OST00278,2021-05-05,2021-06-05,QUO10430,SCI00278
ORD00680,2022-01-02,OST00279,2022-02-02,Na,QUO74101,SCI00279
ORD21947,2020-05-13,OST00280,2020-06-13,Na,QUO56208,SCI00280
ORD37672,2020-04-01,OST00281,2020-05-01,Na,QUO15384,SCI00281
ORD79513,2022-01-05,OST00282,2022-02-05,2022-03-05,QUO83643,SCI00282
ORD68543,2022-04-10,OST00283,2022-05-10,2022-06-10,QUO34524,SCI00283
ORD90283,2020-09-07,OST00284,2020-10-07,2020-11-07,QUO16533,SCI00284
ORD81830,2021-04-11,OST00285,2021-05-11,Na,QUO86269,SCI00285
ORD94572,2022-02-20,OST00286,2022-03-20,2022-04-20,QUO03494,SCI00286
ORD09358,2021-01-26,OST00287,2021-02-26,Na,QUO00709,SCI00287
ORD16975,2022-08-14,OST00288,2022-09-14,Na,QUO85109,SCI00288
ORD42567,2021-12-29,OST00289,2022-01-29,2022-02-28,QUO59308,SCI00289
ORD66925,2021-01-17,OST00290,2021-02-17,Na,QUO37196,SCI00290
ORD35411,2021-04-06,OST00291,2021-05-06,Na,QUO65068,SCI00291
ORD48245,2022-09-15,OST00292,2022-10-15,2022-11-15,QUO56909,SCI00292
ORD83961,2020-04-19,OST00293,2020-05-19,2020-06-19,QUO84026,SCI00293
ORD89171,2020-04-04,OST00294,2020-05-04,Na,QUO81817,SCI00294
ORD40131,2021-01-15,OST00295,2021-02-15,Na,QUO29021,SCI00295
ORD78109,2023-03-12,OST00296,2023-04-12,Na,QUO39331,SCI00296
ORD53818,2020-08-24,OST00297,2020-09-24,Na,QUO73967,SCI00297
ORD69883,2020-04-16,OST00298,2020-05-16,Na,QUO38649,SCI00298
ORD49340,2021-02-23,OST00299,2021-03-23,Na,QUO93994,SCI00299
ORD99108,2022-02-03,OST00300,2022-03-03,Na,QUO36922,SCI00300
ORD96535,2020-10-06,OST00301,2020-11-06,Na,QUO93475,SCI00301
ORD99503,2022-02-19,OST00302,2022-03-19,2022-04-19,QUO59350,SCI00302
ORD21844,2022-04-28,OST00303,2022-05-28,Na,QUO43752,SCI00303
ORD17542,2022-09-09,OST00304,2022-10-09,2022-11-09,QUO36727,SCI00304
ORD49140,2022-01-30,OST00305,2022-02-28,Na,QUO12708,SCI00305
ORD42381,2020-11-30,OST00306,2020-12-30,2021-01-30,QUO92263,SCI00306
ORD70622,2022-02-20,OST00307,2022-03-20,Na,QUO00756,SCI00307
ORD96525,2020-09-07,OST00308,2020-10-07,Na,QUO08346,SCI00308
ORD80767,2021-05-27,OST00309,2021-06-27,Na,QUO68974,SCI00309
ORD49371,2020-09-11,OST00310,2020-10-11,2020-11-11,QUO89997,SCI00310
ORD57050,2020-04-25,OST00311,2020-05-25,Na,QUO45341,SCI00311
ORD64182,2021-10-01,OST00312,2021-11-01,Na,QUO83446,SCI00312
ORD23429,2023-02-23,OST00313,2023-03-23,2023-04-23,QUO29165,SCI00313
ORD60968,2022-06-01,OST00314,2022-07-01,2022-08-01,QUO80940,SCI00314
ORD42190,2022-04-12,OST00315,2022-05-12,Na,QUO25986,SCI00315
ORD08118,2022-01-12,OST00316,2022-02-12,Na,QUO37222,SCI00316
ORD47352,2023-03-05,OST00317,2023-04-05,Na,QUO72361,SCI00317
ORD28155,2020-07-16,OST00318,2020-08-16,2020-09-16,QUO76096,SCI00318
ORD94640,2021-04-06,OST00319,2021-05-06,Na,QUO39612,SCI00319
ORD51861,2020-05-15,OST00320,2020-06-15,Na,QUO54708,SCI00320
ORD15704,2021-09-12,OST00321,2021-10-12,Na,QUO82550,SCI00321
ORD75954,2020-04-04,OST00322,2020-05-04,2020-06-04,QUO44785,SCI00322
ORD51500,2022-05-24,OST00323,2022-06-24,Na,QUO12990,SCI00323
ORD36542,2022-03-31,OST00324,2022-04-30,2022-05-31,QUO48645,SCI00324
ORD59204,2021-08-29,OST00325,2021-09-29,Na,QUO17056,SCI00325
ORD47816,2020-12-27,OST00326,2021-01-27,2021-02-27,QUO85841,SCI00326
ORD55544,2022-11-25,OST00327,2022-12-25,Na,QUO75562,SCI00327
ORD18025,2021-02-25,OST00328,2021-03-25,2021-04-25,QUO37429,SCI00328
ORD60647,2022-04-28,OST00329,2022-05-28,2022-06-28,QUO09784,SCI00329
ORD02160,2021-08-30,OST00330,2021-09-30,Na,QUO32831,SCI00330
ORD31808,2022-12-13,OST00331,2023-01-13,Na,QUO46896,SCI00331
ORD03828,2021-10-14,OST00332,2021-11-14,Na,QUO32642,SCI00332
ORD70163,2022-01-07,OST00333,2022-02-07,Na,QUO78617,SCI00333
ORD77990,2020-06-09,OST00334,2020-07-09,Na,QUO84045,SCI00334
